Company_name,Description,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Adfactors PR,Marketing & Advertising | 1k-5k Employees | 27 years old | Mumbai +9 more,3.6,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Satisfaction, Salary & Benefits",137,1.3k,13,26,19
"Sanjay Ghodawat International School, Kolhapur",Education & Training | 201-500 Employees | 14 years old | Kolhapur +10 more,2.7,"Job Security, Work Life Balance, Work Satisfaction",,137,348,6,1,41
RACL Geartech,Auto Components | 201-500 Employees | Public | 35 years old | Noida +6 more,4.1,"Job Security, Salary & Benefits, Skill Development / Learning",,137,540,8,--,8
Fukoku,Automobile | 51-200 Employees | 71 years old | Ageo +3 more,3.7,"Promotions / Appraisal, Salary & Benefits, Job Security",,137,532,6,--,18
Sakura Autoparts,Automobile | 51-200 Employees | 12 years old | Kancheepuram +5 more,3.8,Company Culture,"Promotions / Appraisal, Job Security, Work Satisfaction",137,796,6,--,14
Ginger Hotels,Hospitality | 501-1k Employees | 21 years old | Mumbai +32 more,4.4,"Job Security, Company Culture, Work Life Balance",,137,569,4,11,20
Harley-Davidson,Automobile | 201-500 Employees | 121 years old | Milwaukee +27 more,3.9,"Company Culture, Work Life Balance, Skill Development / Learning","Job Security, Promotions / Appraisal, Salary & Benefits",137,625,5,--,24
Ray Engineering,Engineering & Construction | 11-50 Employees | 18 years old | Mumbai +22 more,4.0,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",137,561,2,--,12
Renata Precision Components,Industrial Machinery | 501-1k Employees | 18 years old | Pune +4 more,3.9,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",,137,916,9,12,14
NATIONAL SKILL DEVELOPMENT CORPORATION,Non-Profit | 51-200 Employees | 16 years old | New Delhi +37 more,3.3,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,137,721,8,13,15
Givaudan,Beauty & Personal Care | 51-200 Employees | Forbes Global 2000 | 129 years old | Vernier +8 more,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,137,862,3,9,33
75way Technologies,IT Services & Consulting | 51-200 Employees | 9 years old | Mohali +2 more,4.7,"Promotions / Appraisal, Skill Development / Learning, Job Security",,137,80,1,9,124
Utthunga Technologies,Industrial Automation | 501-1k Employees | 17 years old | Bangalore/Bengaluru +2 more,3.5,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,137,1.5k,11,22,16
EVIO,Power | 51-200 Employees | 13 years old | Mumbai +11 more,4.1,"Job Security, Skill Development / Learning",,136,626,4,9,14
Atidiv,IT Services & Consulting | 201-500 Employees | 15 years old | Pune,3.1,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,136,1k,10,1,20
Holy Family Hospital,Healthcare | 1k-5k Employees | 71 years old | Delhi/NCR +12 more,4.0,Skill Development / Learning,Promotions / Appraisal,136,525,2,--,9
Elofic Industries,Auto Components | 201-500 Employees | 73 years old | Faridabad +13 more,3.9,"Job Security, Work Life Balance",Promotions / Appraisal,136,669,4,--,12
Amphenol Fci,Electrical Equipment | 501-1k Employees | 43 years old | Kochi +7 more,3.9,"Work Life Balance, Job Security, Company Culture",,136,779,9,--,19
Dhandhania Infotech,IT Services & Consulting | 501-1k Employees | 17 years old | Nagpur  +3 more,3.5,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,136,766,6,--,16
AARGEE STAFFING SERVICES,Recruitment | 1k-5k Employees (Global) | 22 years old | Chennai +16 more,3.9,"Promotions / Appraisal, Job Security, Salary & Benefits",,136,538,4,--,6
Nagata India,Metals & Mining | 51-200 Employees | 25 years old | Gurugram +9 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,136,751,6,--,17
inTarvo Technologies,BPO | 1k-5k Employees | 29 years old | Noida +16 more,3.8,"Promotions / Appraisal, Salary & Benefits, Job Security",,136,454,--,--,14
RattanIndia Power,Metals & Mining | 1k-5k Employees | Public | 17 years old | Delhi/NCR +7 more,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",,136,747,3,4,17
Tata Tele Business Services,Telecom | 10k-50k Employees | Noida +19 more,3.7,Skill Development / Learning,Promotions / Appraisal,136,865,5,9,15
Magic EdTech,EdTech | 501-1k Employees | 34 years old | New York +5 more,3.1,"Promotions / Appraisal, Job Security, Salary & Benefits",,136,947,9,17,11
Pontika Aerotech,Pharma | 51-200 Employees | Public | 7 years old | Sirmour +3 more,3.9,,,136,617,10,--,15
Uniqlo,Fashion & Textile | 201-500 Employees | Tokyo +8 more,3.2,"Work Life Balance, Work Satisfaction, Company Culture",,136,504,11,--,20
Virinchi Technologies,IT Services & Consulting | 1k-5k Employees | 33 years old | Edison +4 more,3.6,"Salary & Benefits, Promotions / Appraisal, Company Culture",,136,1.1k,5,10,7
Ester Industries,Chemicals / Agri Inputs | 501-1k Employees | Public | 39 years old | Gurgaon +6 more,4.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,136,656,5,--,22
Midco,Telecom | 1-10 Employees | 93 years old | Sioux Falls +27 more,4.1,"Company Culture, Work Satisfaction, Job Security",,136,289,--,--,17
Sagarsoft,IT Services & Consulting | 51-200 Employees | Public | 28 years old | Hyderabad/Secunderabad +2 more,4.4,"Company Culture, Work Life Balance, Job Security",,136,517,5,7,82
Chembond Chemicals,Chemicals | 51-200 Employees | Public | 51 years old | Mumbai +18 more,3.8,"Work Life Balance, Job Security",,136,675,7,57,19
Cooper-Standard Automotive,Auto Components | 201-500 Employees | Public | 64 years old | Northville +10 more,4.1,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",136,969,--,--,15
Tata Memorial Hospital,Healthcare | 1k-5k Employees | 83 years old | Mumbai +5 more,4.4,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal,136,543,6,--,17
World Health Organization,Government | 1k-5k Employees | 76 years old | Geneva +63 more,4.2,"Skill Development / Learning, Work Satisfaction, Company Culture",,136,322,12,1,14
Tatvasoft,IT Services & Consulting | 1k-5k Employees | 23 years old | Ahmedabad +1 more,3.8,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",136,1.1k,21,8,18
TLC Relationship Management,Hospitality | 501-1k Employees | 22 years old | Delhi/NCR +17 more,3.1,"Promotions / Appraisal, Work Satisfaction, Company Culture",,136,723,6,13,19
Hitachi Automotive Systems,Auto Components | 5k-10k Employees | 15 years old | Tokyo +10 more,4.0,Job Security,"Promotions / Appraisal, Salary & Benefits",136,814,3,--,19
Shantha Biotechnics,Biotechnology | 11-50 Employees | 31 years old | Hyderabad/Secunderabad +3 more,4.7,"Job Security, Company Culture, Skill Development / Learning",,136,462,2,--,19
Pitti Laminations,Iron & Steel | 201-500 Employees | 41 years old | Hyderabad/Secunderabad +3 more,4.0,"Company Culture, Salary & Benefits, Promotions / Appraisal",,136,499,2,--,27
Nyx-medical Solutions,Healthcare | 51-200 Employees | Bangalore / Bengaluru +3 more,4.1,"Work Life Balance, Work Satisfaction, Job Security",,136,400,4,2,5
Irclass Systems And Solutions,Ports & Shipping | 501-1k Employees | 49 years old | Mumbai +24 more,3.8,"Promotions / Appraisal, Skill Development / Learning, Job Security",,136,714,8,18,17
SEForge,Engineering & Construction | 201-500 Employees | 18 years old | Coimbatore +7 more,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",,136,896,4,--,14
House Of Diagnostics,Healthcare | 501-1k Employees | 16 years old | Delhi/NCR +4 more,4.1,"Work Satisfaction, Skill Development / Learning, Job Security",Promotions / Appraisal,136,530,3,2,26
Apex Hospital,Healthcare | 51-200 Employees (Global) | 30 years old | Jaipur +24 more,3.9,Skill Development / Learning,Promotions / Appraisal,136,746,6,5,16
Government of Bihar,Government | 201-500 Employees (Global) | 77 years old | Patna +27 more,3.8,"Promotions / Appraisal, Salary & Benefits, Company Culture",,136,467,2,--,12
L&T IDPL,Engineering & Construction | 201-500 Employees | 29 years old | Chennai +31 more,4.3,"Job Security, Work Life Balance, Company Culture",,136,684,1,--,20
Wave Infratech,Real Estate | 1k-5k Employees | Conglomerate | 61 years old | Noida +7 more,3.9,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning",136,1k,12,--,12
Sigachi Industries,Pharma | 201-500 Employees | Public | 35 years old | Hyderabad +10 more,4.0,Work Life Balance,,136,783,7,5,16
Spectrum Consultants,Recruitment | 51-200 Employees | 29 years old | Bangalore +10 more,3.6,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,136,866,14,136,13
BEO Software,IT Services & Consulting | 201-500 Employees | 21 years old | Kochi/Cochin +1 more,4.4,"Work Life Balance, Company Culture, Work Satisfaction",,136,380,--,14,91
UL Solutions,Other | 501-1k Employees | 130 years old | Northbrook +7 more,4.3,"Work Life Balance, Company Culture, Job Security",,136,545,5,4,--
Pratibha Syntex,Fashion & Textile | 501-1k Employees | 27 years old | Indore +11 more,4.3,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,136,567,--,3,19
Sulphur Mills,Agro Chemicals | 201-500 Employees | Public | 64 years old | Mumbai +22 more,4.0,"Skill Development / Learning, Job Security",Salary & Benefits,136,820,7,2,23
Mindcrest,Legal | 201-500 Employees | 23 years old | Chicago +2 more,2.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,135,807,5,2,26
Pradan,Non-Profit | 201-500 Employees | 41 years old | New Delhi +42 more,3.8,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",135,423,11,--,17
Swal Corporation,Agro Chemicals | 11-50 Employees | 45 years old | Mumbai +54 more,4.0,Skill Development / Learning,"Promotions / Appraisal, Job Security",135,326,6,--,10
Goodluck,Iron & Steel | 1k-5k Employees | Public | 38 years old | Ghaziabad +18 more,3.9,Promotions / Appraisal,,135,710,9,--,14
WPIL,Building Material | 201-500 Employees | Public | 72 years old | Kolkata +22 more,3.9,"Skill Development / Learning, Company Culture, Work Satisfaction",,135,731,8,--,12
Maharishi Markandeshwar University,Education & Training | 501-1k Employees | 31 years old | Ambala +8 more,3.9,"Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",135,477,5,3,10
Techavera Solutions,Education & Training | 51-200 Employees | 14 years old | Noida +3 more,4.6,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",,135,149,2,--,20
Netsmartz Infotech,IT Services & Consulting | 501-1k Employees | 25 years old | Pittsford +7 more,3.2,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,135,1k,8,34,14
Selectsys,BPO | 51-200 Employees | 18 years old | Knoxville,3.8,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,135,841,9,5,11
Vserv Infosystems,IT Services & Consulting | 501-1k Employees | 8 years old | Noida +33 more,3.6,"Promotions / Appraisal, Salary & Benefits, Job Security",,135,754,9,13,6
Virohan,EdTech | 501-1k Employees | Startup | 5 years old | Gurgaon/Gurugram +8 more,4.2,"Skill Development / Learning, Company Culture, Work Satisfaction",,135,395,11,69,5
Radiant Appliances,Electronics Manufacturing | 1k-5k Employees | 5 years old | Hyderabad/Secunderabad +3 more,4.0,"Promotions / Appraisal, Salary & Benefits, Job Security",,135,620,11,--,18
Repro India,FMCG | 501-1k Employees | Public | 40 years old | Mumbai +11 more,3.8,"Promotions / Appraisal, Salary & Benefits",,135,721,7,7,14
Sical Logistics,Logistics | 201-500 Employees | Public | 69 years old | Chennai +21 more,3.8,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,135,918,1,--,16
Suven Life Sciences,Pharma | 51-200 Employees | Public | 35 years old | Hyderabad/Secunderabad +6 more,3.8,Skill Development / Learning,Company Culture,135,703,3,1,18
Gulbrandsen,Chemicals | 501-1k Employees | 21 years old | Vadodara/Baroda +9 more,4.2,"Company Culture, Work Life Balance, Work Satisfaction",,135,922,4,2,32
Thomson Press India,Printing & Publishing | 201-500 Employees | 57 years old | Faridabad +9 more,4.2,"Job Security, Work Life Balance, Skill Development / Learning",,135,463,4,1,14
Kama Ayurveda,Beauty & Personal Care | 201-500 Employees | 22 years old | Noida +23 more,4.0,"Salary & Benefits, Work Life Balance, Skill Development / Learning",,135,647,11,7,14
Apollo Pipes,Building Material | 201-500 Employees | Public | 24 years old | Delhi/NCR +28 more,3.9,Promotions / Appraisal,,135,722,8,1,6
Reliance Corporate IT Park,Thane +29 more,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,135,662,3,--,19
More Mega Store,Retail | 11-50 Employees | 17 years old | Mumbai +30 more,4.0,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,135,548,7,1,24
Altius Customer Services,BPO | 201-500 Employees | 21 years old | Mumbai +6 more,3.6,"Promotions / Appraisal, Salary & Benefits",,135,739,10,--,21
China State Construction Engineering Corporation,Engineering & Construction | 51-200 Employees | 42 years old | Beijing +25 more,4.2,"Skill Development / Learning, Salary & Benefits, Work Life Balance","Promotions / Appraisal, Job Security",135,487,8,--,18
Peninsula Land,Real Estate | 501-1k Employees | Public | 27 years old | Mumbai +7 more,3.9,Work Life Balance,"Skill Development / Learning, Promotions / Appraisal, Job Security",135,665,3,--,19
Vamani Overseas,Furniture & Furnishing | 5k-10k Employees | 22 years old | Faridabad +6 more,3.6,"Job Security, Promotions / Appraisal, Salary & Benefits",,135,1.1k,5,--,14
Psychotropics India,Pharma | 201-500 Employees | Public | 37 years old | Faridabad +9 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,135,610,2,--,12
Eros Group,Real Estate | 501-1k Employees | 57 years old | Delhi/NCR +12 more,4.2,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal,135,721,10,9,19
Autoline Industries,Auto Components | 1k-5k Employees | Public | 21 years old | Pune +12 more,3.9,Skill Development / Learning,,135,823,3,--,13
Garden Reach Shipbuilders & Engineers,Ports & Shipping | 1k-5k Employees | Central | 90 years old | Kolkata +5 more,4.0,"Salary & Benefits, Job Security, Work Life Balance",Promotions / Appraisal,135,362,4,--,18
MASAI School,EdTech | 201-500 Employees | Startup | 5 years old | Bangalore +4 more,4.0,"Salary & Benefits, Company Culture, Skill Development / Learning",,135,474,8,15,6
InfoVision Labs,IT Services & Consulting | 1k-5k Employees | 10 years old | Pune +5 more,3.9,,,135,2.3k,3,12,10
Ujala Cygnus,Healthcare | 501-1k Employees | 5 years old | New Delhi +24 more,4.1,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,135,386,3,1,8
Ruloans,Financial Services | 51-200 Employees (Global) | Public | 28 years old | Mumbai +30 more,4.1,"Company Culture, Skill Development / Learning, Work Satisfaction",,135,835,8,--,9
Navigators Software,IT Services & Consulting | 51-200 Employees | 25 years old | Kolkata +3 more,4.2,"Skill Development / Learning, Salary & Benefits, Promotions / Appraisal",,135,574,10,31,9
Mahindra Teqo,Software Product | 501-1k Employees | Mumbai +41 more,4.1,"Skill Development / Learning, Job Security",Promotions / Appraisal,135,697,12,--,19
Hanu Software Solutions,IT Services & Consulting | 201-500 Employees | 22 years old | Princeton +4 more,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,135,1k,14,--,30
GLA University,Education & Training | 1k-5k Employees | 26 years old | Mathura +7 more,3.7,Promotions / Appraisal,,135,615,7,18,18
Propel Industries,Metals & Mining | 201-500 Employees | 15 years old | Coimbatore +14 more,3.8,Promotions / Appraisal,,135,1.2k,17,28,21
MTAR Technologies,Defence & Aerospace | 1k-5k Employees | Public | 54 years old | Hyderabad +4 more,4.3,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal,134,797,11,1,7
Malayala Manorama,Printing & Publishing | 1k-5k Employees | 136 years old | Kottayam +19 more,3.9,"Company Culture, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",134,891,4,27,14
